neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,days_before_latest_review,reviews_per_month,calculated_host_listings_count,availability_365
13,1.31489,103.84165,3,149,2,1,1344.0,0.01980262729617973,2,0
2,1.2856,103.82841,2,60,5,7,1141.0,0.12221763272424911,1,0
10,1.28185,103.84657,2,160,365,0,1887.0,0.0,1,363
12,1.32815,103.86575,3,201,7,25,405.0,0.37843643572024505,203,309
4,1.31039,103.8845,3,75,1,4,15.0,0.5423242908253617,5,359
6,1.30514,103.85597,3,119,2,158,20.0,1.3987168811184478,10,122
6,1.30402,103.85423,3,115,2,198,18.0,1.528227857008557,10,0
15,1.29224,103.84259,2,146,1,0,1887.0,0.0,2,0
6,1.30376,103.85471,3,119,2,170,20.0,1.4327007339340463,10,105
6,1.30543,103.85647,3,115,2,188,16.0,1.4906543764441333,10,96
6,1.30541,103.85508,3,90,2,153,22.0,1.3737155789130306,10,58
6,1.30386,103.85459,3,106,2,246,19.0,1.7029282555214393,10,63
12,1.32723,103.86533,2,208,1,0,1887.0,0.0,1,0
12,1.31281,103.84826,3,106,1,22,1.0,0.34358970439007686,5,336
8,1.30197,103.89935,2,49,2,10,16.0,0.4824261492442928,1,344
4,1.31243,103.88441,3,90,1,8,57.0,0.13976194237515863,5,353
4,1.31005,103.87613,3,219,1,1,1285.0,0.01980262729617973,5,364
2,1.2761,103.84071,3,228,6,2,571.0,0.09531017980432493,4,364
2,1.27493,103.84029,3,200,6,5,30.0,0.10436001532424286,4,364
4,1.3291,103.88257,2,107,2,7,12.0,0.14842000511827322,2,363
2,1.27574,103.83632,3,190,365,45,983.0,0.6097655716208942,6,89
13,1.3195,103.84791,2,99,1,238,5.0,1.6845453849209058,3,329
13,1.31773,103.84633,2,94,1,191,4.0,1.5173226235262949,3,351
12,1.31372,103.848,3,131,1,18,9.0,0.30010459245033816,5,343
12,1.30953,103.85958,3,194,1,9,494.0,0.1570037488096647,16,351
17,1.29891,103.84659,3,350,365,44,1266.0,0.5933268452777344,6,83
1,1.31164,103.79555,2,60,30,14,22.0,0.23111172096338664,14,359
13,1.32568,103.85009,3,250,8,12,879.0,0.19885085874516517,203,364
5,1.29473,103.83885,3,131,5,27,39.0,0.4054651081081644,84,77
13,1.32574,103.85181,3,137,10,6,774.0,0.10436001532424286,203,364
3,1.30527,103.83424,3,249,2,25,33.0,0.5653138090500605,38,208
1,1.31263,103.79793,1,61,1,10,1384.0,0.1823215567939546,1,0
9,1.3356,103.86592,1,300,1,0,1887.0,0.0,1,365
4,1.31208,103.88475,3,110,4,3,1181.0,0.058268908123975824,1,0
8,1.29962,103.88732,3,175,3,0,1887.0,0.0,1,0
5,1.29523,103.84039,3,115,30,8,260.0,0.1570037488096647,84,86
6,1.30258,103.84811,3,90,5,24,115.0,0.37843643572024505,67,48
14,1.28209,103.85191,3,237,2,16,1240.0,0.26236426446749106,1,0
12,1.31411,103.84805,2,56,2,0,1887.0,0.0,1,0
5,1.29638,103.83975,3,119,5,37,14.0,0.5306282510621704,84,70
12,1.31621,103.85614,2,49,5,16,59.0,0.29266961396282004,12,49
13,1.32266,103.85221,2,75,1,0,1887.0,0.0,1,0
4,1.31677,103.90182,2,44,1,6,1333.0,0.10436001532424286,1,0
13,1.32584,103.85379,3,218,3,21,163.0,0.3364722366212129,203,254
18,1.35071,103.85088,2,119,1,0,1887.0,0.0,1,0
6,1.30086,103.85439,3,190,90,195,8.0,1.541159071680806,1,59
10,1.2843,103.84738,2,125,21,133,167.0,1.2556160374777743,1,0
7,1.30544,103.78462,2,69,14,0,1887.0,0.0,1,0
10,1.28407,103.84385,3,110,5,34,24.0,0.506817602368452,67,125
12,1.31642,103.85776,3,112,2,42,16.0,0.6043159668533296,12,318
6,1.30218,103.86036,2,87,1,5,1293.0,0.09531017980432493,4,0
6,1.30162,103.86022,2,76,1,39,1028.0,0.5538851132264376,4,0
6,1.30223,103.86083,2,76,1,23,1116.0,0.371563556432483,4,0
11,1.29376,103.82802,3,281,3,8,1292.0,0.14842000511827322,1,0
7,1.28227,103.78501,2,44,25,0,1887.0,0.0,1,0
1,1.31137,103.79544,2,75,90,8,329.0,0.14842000511827322,14,356
12,1.31534,103.85822,3,100,2,83,15.0,0.9477893989335261,12,320
5,1.29467,103.83839,3,119,6,56,15.0,0.7227059828014898,84,62
4,1.31466,103.88736,3,90,14,68,31.0,0.8372475245337022,67,0
11,1.29504,103.82971,2,58,21,6,264.0,0.12221763272424911,4,149
4,1.31323,103.88802,3,82,4,130,24.0,1.244154593958768,84,41
16,1.30067,103.8392,3,219,2,118,17.0,1.199964782928397,1,46
4,1.31443,103.88751,3,85,15,124,107.0,1.2119409739751128,84,61
4,1.31648,103.89486,3,85,1,62,28.0,0.7793248768009975,67,72
4,1.31394,103.8866,3,90,4,51,17.0,0.6981347220709843,84,33
4,1.31585,103.88554,3,110,1,24,34.0,0.37843643572024505,67,89
4,1.31414,103.8881,3,85,1,79,49.0,0.928219302739429,67,120
4,1.3156,103.88776,3,92,4,26,15.0,0.3987761199573678,67,73
4,1.31312,103.88663,3,94,9,29,179.0,0.44468582126144574,84,68
10,1.28563,103.845,3,106,10,22,48.0,0.35065687161316933,67,47
10,1.28362,103.84509,3,131,4,24,48.0,0.3852624007906449,67,81
4,1.31352,103.88728,3,82,24,75,345.0,0.9001613499442714,84,74
7,1.29297,103.76953,1,19,5,3,575.0,0.0769610411361284,9,350
13,1.32734,103.84433,3,300,25,26,64.0,0.412109650826833,67,365
2,1.27495,103.83571,2,81,2,162,5.0,1.4182774069729414,1,289
4,1.3131,103.89178,2,60,1,0,1887.0,0.0,1,0
5,1.29568,103.84042,3,81,1,0,1887.0,0.0,1,0
18,1.35613,103.84983,2,106,1,0,1887.0,0.0,2,362
